id,tag_id,name,category,count,ips,zh_name
0,470575,1girl,0,6893309,[],1女孩
1,1559228,2000s_(style),0,13649,[],2000年代风格
2,413907,;p,0,8510,[],;p(表情)
3,1486996,animal_ear_fluff,0,246823,[],兽耳绒毛
4,6126,animal_ears,0,1379892,[],兽耳
5,507478,aqua_panties,0,2185,[],水色内裤
6,546609,blue_bow,0,140353,[],蓝色蝴蝶结
7,3389,blush,0,3369505,[],脸红
8,511136,border,0,177131,[],边框
9,4563,bow,0,1369583,[],蝴蝶结
10,426598,bow_panties,0,48216,[],蝴蝶结内裤
11,8601,breasts,0,3998853,[],胸部
12,16578,brown_eyes,0,937484,[],棕色眼睛
13,72,cat_ears,0,328241,[],猫耳
14,465046,cat_girl,0,116887,[],猫娘
15,389404,cat_tail,0,182623,[],猫尾巴
16,466499,collarbone,0,912396,[],锁骨
17,1287387,colored_stripes,0,641,[],彩色条纹
18,660909,cowboy_shot,0,671273,[],牛仔镜头
19,754325,groin,0,162488,[],腹股沟
20,481846,hands_up,0,214967,[],双手举起
21,531403,kemonomimi_mode,0,42703,[],兽耳模式
22,403247,large_breasts,0,1828301,[],巨乳
23,13197,long_hair,0,5045237,[],长发
24,383159,long_sleeves,0,1867951,[],长袖
25,469576,looking_at_viewer,0,3905471,[],看向观众
26,383830,no_pants,0,66229,[],无裤子
27,461042,one_eye_closed,0,500241,[],单眼闭
28,645753,orange_background,0,34966,[],橙色背景
29,713987,outside_border,0,70964,[],出框
30,391,panties,0,712783,[],内裤
31,551772,parted_bangs,0,241136,[],分叉刘海
32,514515,pink_shirt,0,53588,[],粉色衬衫
33,5403,red_hair,0,611682,[],红发
34,1409116,red_sailor_collar,0,7527,[],红色水手领
35,389378,sailor_collar,0,326062,[],水手领
36,16509,school_uniform,0,894095,[],校服
37,268819,serafuku,0,344150,[],水手服
38,12590,shirt,0,2234246,[],衬衫
39,484168,sidelocks,0,736722,[],鬓发
40,412368,simple_background,0,2196389,[],简单背景
41,1815,smile,0,3358064,[],微笑
42,212816,solo,0,5756157,[],单人
43,15675,standing,0,1069189,[],站立
44,478557,straight_hair,0,78754,[],直发
45,578643,striped_background,0,14177,[],条纹背景
46,491647,striped_clothes,0,271400,[],条纹衣服
47,4543,striped_panties,0,44815,[],条纹内裤
48,15674,tail,0,930284,[],尾巴
49,403649,thigh_gap,0,85506,[],大腿间隙
50,1882,thighhighs,0,1305799,[],过膝袜
51,3870,thighs,0,666247,[],大腿
52,10863,tongue,0,447177,[],舌头
53,502710,tongue_out,0,332892,[],吐舌
54,652604,two_side_up,0,202942,[],双马尾
55,464906,underwear,0,877998,[],内衣
56,417660,very_long_hair,0,1130649,[],超长发
57,666708,w_arms,0,6252,[],W形手臂
58,668761,white_border,0,113207,[],白色边框
59,374791,white_panties,0,208429,[],白色内裤
60,375002,white_thighhighs,0,281197,[],白色过膝袜
61,449194,2boys,0,365931,[],2男孩
62,1821,2girls,0,1174896,[],2女孩
63,3522,ahoge,0,764860,[],呆毛
64,8101,ass,0,669825,[],臀部
65,10953,blue_hair,0,996543,[],蓝发
66,16867,brown_hair,0,1733962,[],棕发
67,623331,company_connection,0,9106,[],公司关联
68,358,cosplay,0,155839,[],角色扮演
69,465382,crossdressing,0,44082,[],女装
70,6532,glasses,0,418025,[],眼镜
71,8388,green_hair,0,484165,[],绿发
72,658573,hair_between_eyes,0,1390149,[],眼间刘海
73,374844,hair_bow,0,611936,[],发饰蝴蝶结
74,380350,hair_ornament,0,1660508,[],头饰
75,2373,hat,0,1387170,[],帽子
76,375387,holding,0,1693075,[],手持
77,410129,looking_back,0,313184,[],回头
78,568656,multiple_boys,0,553923,[],多名男孩
79,566835,multiple_girls,0,1748141,[],多名女孩
80,434996,o_o,0,25678,[],o_o(表情)
81,1648,oekaki,0,26003,[],涂鸦
82,11906,open_mouth,0,2779301,[],张嘴
83,1019196,otoko_no_ko,0,0,[],伪娘
84,1414389,pink_sailor_collar,0,3155,[],粉色水手领
85,15080,short_hair,0,2592173,[],短发
86,394174,short_shorts,0,162518,[],短裤
87,3985,shorts,0,527029,[],短裤
88,429,skirt,0,1784368,[],裙子
89,125238,sweatdrop,0,267133,[],汗滴
90,1709,twintails,0,1030329,[],双马尾
91,5228,wand,0,23665,[],魔杖
92,381863,2005,0,935,[],2005年
93,4659,armor,0,251194,[],盔甲
94,663804,armored_dress,0,16363,[],装甲连衣裙
95,87788,blonde_hair,0,1786941,[],金发
96,377140,blue_dress,0,145032,[],蓝色连衣裙
97,498000,blue_ribbon,0,89843,[],蓝色蝴蝶结
98,5827,boots,0,579361,[],靴子
99,4334,braid,0,734912,[],辫子
100,1318186,braided_bun,0,13163,[],辫子发髻
101,475744,breastplate,0,34037,[],胸甲
102,1627128,caliburn_(fate),0,1171,[],必胜黄金之剑(Fate)
103,675314,copyright_name,0,144602,[],版权名
104,1976,cover,0,76548,[],封面
105,447919,cover_page,0,53803,[],封面页
106,560958,dated,0,219290,[],过时
107,469517,doujin_cover,0,33474,[],同人封面
108,2241,dress,0,1539651,[],连衣裙
109,590165,english_text,0,299679,[],英文文字
110,1505172,engrish_text,0,8482,[],日式英语文字
111,642359,faulds,0,8916,[],护腰甲
112,608813,full_body,0,996781,[],全身
113,403060,gauntlets,0,58120,[],臂铠
114,10960,green_eyes,0,978607,[],绿色眼睛
115,454933,hair_bun,0,293985,[],发髻
116,464561,hair_ribbon,0,680462,[],发带
117,698161,holding_sword,0,135436,[],持剑
118,670071,holding_weapon,0,320936,[],手持武器
119,617615,legs_apart,0,39658,[],双腿分开
120,388149,ranguage,0,9595,[],乱语
121,616137,reverse_grip,0,6978,[],反手握持
122,464575,ribbon,0,1231487,[],丝带
123,401228,sword,0,312002,[],剑
124,11449,weapon,0,677738,[],武器
